Treatment,Concentration p/mL,Concentration µg/mL,Replicate,Total ,Deaths,Alive,% Mortality,Volume  (mL),Concentration p/mL avg,Concentration µg/mL avg
Aged PS,0,0,1,20,7,13,35,3,0,0
Aged PS,0,0,2,33,8,25,24.24242424,3,0,0
Aged PS,0,0,3,32,5,27,15.625,3,0,0
Aged PS,0,0,4,30,2,28,6.666666667,4,0,0
Aged PS,0,0,5,35,8,27,22.85714286,4,0,0
Aged PS,0,0,6,35,7,28,20,4,0,0
Aged PS,76187.5,0.53,1,25,6,19,24,4,76187.5,0.53
Aged PS,76187.5,0.53,2,21,4,17,19.04761905,4,76187.5,0.53
Aged PS,76187.5,0.53,3,41,10,31,24.3902439,4,76187.5,0.53
Aged PS,230000,1.6,1,27,8,19,29.62962963,4,230000,1.6
Aged PS,230000,1.6,2,24,7,17,29.16666667,4,230000,1.6
Aged PS,230000,1.6,3,38,12,26,31.57894737,4,230000,1.6
Aged PS,632500,4.4,1,24,6,18,25,3,632500,4.4
Aged PS,632500,4.4,2,62,26,36,41.93548387,3,632500,4.4
Aged PS,632500,4.4,3,28,8,20,28.57142857,3,632500,4.4
Aged PS,675625,4.7,1,21,9,12,42.85714286,4,675625,4.7
Aged PS,675625,4.7,2,57,15,42,26.31578947,4,675625,4.7
Aged PS,675625,4.7,3,67,19,48,28.35820896,4,675625,4.7
Aged PS,1868750,13,1,15,5,10,33.33333333,3,1868750,13
Aged PS,1868750,13,2,43,16,27,37.20930233,3,1868750,13
Aged PS,1868750,13,3,64,20,44,31.25,3,1868750,13
Aged PS,2012500,14,1,13,6,7,46.15384615,4,2012500,14
Aged PS,2012500,14,2,50,17,33,34,4,2012500,14
Aged PS,2012500,14,3,49,18,31,36.73469388,4,2012500,14
Aged PS,5750000,40,1,21,8,13,38.0952381,3,5750000,40
Aged PS,5750000,40,2,54,21,33,38.88888889,3,5750000,40
Aged PS,5750000,40,3,59,22,37,37.28813559,3,5750000,40
Aged PS,6181250,43,1,11,7,4,63.63636364,4,6181250,43
Aged PS,6181250,43,2,46,16,30,34.7826087,4,6181250,43
Aged PS,6181250,43,3,19,7,12,36.84210526,4,6181250,43
Aged PS,17250000,120,1,22,10,12,45.45454545,3,17250000,120
Aged PS,17250000,120,2,38,12,26,31.57894737,3,17250000,120
Aged PS,17250000,120,3,40,14,26,35,3,17250000,120
Pure PS,0,0,1,23,13,10,56.52173913,3,0,0
Pure PS,0,0,2,34,12,22,35.29411765,3,0,0
Pure PS,0,0,3,18,7,11,38.88888889,3,0,0
Pure PS,0,0,4,22,4,18,18.18181818,3,0,0
Pure PS,0,0,5,22,4,18,18.18181818,3,0,0
Pure PS,0,0,6,20,4,16,20,3,0,0
Pure PS,120916,76,1,23,7,16,30.43478261,3,122507,77
Pure PS,120916,76,2,22,11,11,50,3,122507,77
Pure PS,120916,76,3,23,7,16,30.43478261,3,122507,77
Pure PS,124098,78,1,19,4,15,21.05263158,3,122507,77
Pure PS,124098,78,2,16,4,12,25,3,122507,77
Pure PS,124098,78,3,23,7,16,30.43478261,3,122507,77
Pure PS,361157,227,1,10,4,6,40,3,367521,231
Pure PS,361157,227,2,26,11,15,42.30769231,3,367521,231
Pure PS,361157,227,3,26,10,16,38.46153846,3,367521,231
Pure PS,373885,235,1,20,7,13,35,3,367521,231
Pure PS,373885,235,2,22,7,15,31.81818182,3,367521,231
Pure PS,373885,235,3,28,7,21,25,3,367521,231
Pure PS,1081880,680,1,37,20,17,54.05405405,3,1100972,692
Pure PS,1081880,680,2,28,13,15,46.42857143,3,1100972,692
Pure PS,1081880,680,3,12,3,9,25,3,1100972,692
Pure PS,1120064,704,1,18,8,10,44.44444444,3,1100972,692
Pure PS,1120064,704,2,19,7,12,36.84210526,3,1100972,692
Pure PS,1120064,704,3,35,14,21,40,3,1100972,692
Pure PS,3259959,2049,1,16,6,10,37.5,3,3309280,2080
Pure PS,3259959,2049,2,18,8,10,44.44444444,3,3309280,2080
Pure PS,3259959,2049,3,16,8,8,50,3,3309280,2080
Pure PS,3358601,2111,1,21,12,9,57.14285714,3,3309280,2080
Pure PS,3358601,2111,2,18,8,10,44.44444444,3,3309280,2080
Pure PS,3358601,2111,3,21,9,12,42.85714286,3,3309280,2080
PS,0,0,1,23,5,18,21.73913043,4,0,0
PS,0,0,2,18,4,14,22.22222222,4,0,0
PS,0,0,3,30,9,21,30,4,0,0
